date,acute,icu,total_hospit,total_hospit_avg,new_tests,new_tests_avg,total_tests,positives,pos,pos_avg,cases,new_cases,avg_new_cases,deaths,new_deaths,avg_new_deaths
2020-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
2020-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA
2020-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA
2020-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA
2020-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA
2020-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA
2020-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,NA,NA,NA,NA
2020-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,3,1.7142857142857142,NA,NA,NA
2020-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,1.2857142857142858,NA,NA,NA
2020-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,3,1.7142857142857142,NA,NA,NA
2020-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,11,3.2857142857142856,NA,NA,NA
2020-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,5,3.7142857142857144,NA,NA,NA
2020-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,6,4.428571428571429,NA,NA,NA
2020-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,20,6.857142857142857,NA,NA,NA
2020-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,28,10.428571428571429,1,NA,NA
2020-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,22,13.571428571428571,1,0,NA
2020-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,42,19.142857142857142,2,1,NA
2020-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,41,23.428571428571427,2,0,NA
2020-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,54,30.428571428571427,3,1,NA
2020-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288,44,35.857142857142854,3,0,NA
2020-03-24,NA,NA,NA,NA,955,NA,955,77,0.0806,NA,349,61,41.714285714285715,3,0,NA
2020-03-25,NA,NA,NA,NA,1120,NA,2075,84,0.075,NA,423,74,48.285714285714285,4,1,0.42857142857142855
2020-03-26,68,40,108,NA,3340,NA,5415,401,0.1201,NA,580,157,67.57142857142857,4,0,0.42857142857142855
2020-03-27,76,70,146,NA,1820,NA,7235,206,0.11320000000000001,NA,774,194,89.28571428571429,5,1,0.42857142857142855
2020-03-28,113,72,185,NA,3075,NA,10310,348,0.11320000000000001,NA,992,218,114.57142857142857,5,0,0.42857142857142855
2020-03-29,118,94,212,NA,1308,NA,11618,177,0.1353,NA,1239,247,142.14285714285714,11,6,1.1428571428571428
2020-03-30,150,110,260,NA,1585,1886.142857142857,13203,243,0.1533,0.113,1413,174,160.71428571428572,15,4,1.7142857142857142
2020-03-31,177,131,308,NA,2054,2043.142857142857,15257,324,0.1577,0.124,1660,247,187.28571428571428,18,3,2.142857142857143
2020-04-01,257,145,402,231.57142857142858,2947,2304.1428571428573,18204,494,0.16760000000000003,0.13720000000000002,1985,325,223.14285714285714,32,14,4
2020-04-02,NA,NA,NA,NA,2538,2189.5714285714284,20742,450,0.1773,0.1454,2331,346,250.14285714285714,38,6,4.857142857142857
2020-04-03,263,184,447,280,3034,2363,23776,556,0.1833,0.15539999999999998,2758,427,283.42857142857144,43,5,5.428571428571429
